scheduler,K,seed,n,quorum,surplus,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
progress-aware-quorum-delay,60,18,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,19,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,20,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,21,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,22,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,23,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,24,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,25,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,26,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,27,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,28,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,29,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,30,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,31,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,32,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,33,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,34,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,35,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,36,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,37,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,38,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,39,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,40,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,41,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,42,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,43,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,44,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,45,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,46,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,47,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,48,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,49,25,13,12,100,161,0,1,0,0,false,false
progress-aware-quorum-delay,60,50,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,80,1,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,2,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,3,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,4,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,5,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,6,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,7,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,8,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,9,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,10,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,11,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,12,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,13,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,14,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,15,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,16,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,17,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,18,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,19,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,20,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,21,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,22,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,23,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,24,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,25,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,26,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,27,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,28,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,29,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,30,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,31,25,13,12,100,231,1,1,1,2,false,false
uniform-budget-delay,80,32,25,13,12,100,231,1,1,1,2,false,false
